year,total
1950,71
1951,37
1952,67
1953,52
1954,29
1955,55
1956,29
1957,38
1958,39
1959,37
1960,45
1961,64
1962,62
1963,46
1964,59
1965,39
1966,51
1967,46
1968,35
1969,34
1970,41
1971,37
1972,31
1973,48
1974,27
1975,36
1976,50
1977,14
1978,37
1979,30
1980,47
1981,41
1982,60
1983,57
1984,40
1985,57
1986,52
1987,61
1988,55
1989,67
1990,73
1991,57
1992,51
1993,53
1994,65
1995,54
1996,52
1997,61
1998,93
1999,79
2000,63
2001,78
2002,68
2003,93
2004,78
2005,71
2006,78
2007,84
2008,70
2009,75
2010,56
2011,90
2012,81
2013,72
2014,88
2015,77
2016,88
2017,101
2018,93
2019,63
