year,total
1950,1
1951,3
1952,1
1953,1
1954,1
1955,4
1956,0
1957,4
1958,1
1959,3
1960,4
1961,3
1962,1
1963,0
1964,3
1965,0
1966,0
1967,0
1968,2
1969,1
1970,3
1971,2
1972,0
1973,4
1974,1
1975,2
1976,4
1977,0
1978,2
1979,0
1980,0
1981,1
1982,4
1983,2
1984,0
1985,0
1986,1
1987,3
1988,1
1989,2
1990,8
1991,3
1992,4
1993,5
1994,3
1995,1
1996,1
1997,7
1998,3
1999,1
2000,1
2001,7
2002,1
2003,15
2004,5
2005,1
2006,12
2007,1
2008,0
2009,3
2010,2
2011,4
2012,4
2013,7
2014,0
2015,0
2016,3
2017,4
2018,6
2019,5
2020,6
2021,0
