year,total
1950,0
1951,18
1952,19
1953,26
1954,9
1955,20
1956,11
1957,42
1958,22
1959,32
1960,21
1961,24
1962,25
1963,10
1964,31
1965,16
1966,16
1967,9
1968,16
1969,14
1970,11
1971,16
1972,6
1973,20
1974,29
1975,16
1976,37
1977,2
1978,25
1979,39
1980,36
1981,35
1982,28
1983,22
1984,21
1985,27
1986,17
1987,42
1988,39
1989,53
1990,59
1991,66
1992,27
1993,48
1994,57
1995,51
1996,38
1997,48
1998,59
1999,51
2000,54
2001,52
2002,43
2003,62
2004,74
2005,74
2006,81
2007,58
2008,69
2009,81
2010,85
2011,77
2012,44
2013,54
2014,37
2015,53
2016,70
2017,68
2018,50
2019,32
