year,total
1950,54
1951,21
1952,60
1953,44
1954,28
1955,50
1956,28
1957,35
1958,31
1959,32
1960,33
1961,29
1962,46
1963,28
1964,37
1965,34
1966,36
1967,32
1968,27
1969,16
1970,26
1971,33
1972,15
1973,40
1974,16
1975,40
1976,24
1977,5
1978,23
1979,33
1980,32
1981,19
1982,43
1983,39
1984,26
1985,38
1986,54
1987,54
1988,52
1989,63
1990,67
1991,64
1992,37
1993,43
1994,69
1995,65
1996,55
1997,57
1998,72
1999,70
2000,60
2001,83
2002,72
2003,95
2004,90
2005,69
2006,90
2007,70
2008,79
2009,81
2010,71
2011,77
2012,74
2013,56
2014,82
2015,76
2016,75
2017,70
2018,86
2019,73
2020,74
2021,86
2022,92
2023,78
