year,total
1950,37
1951,23
1952,22
1953,49
1954,29
1955,34
1956,21
1957,43
1958,26
1959,34
1960,31
1961,53
1962,39
1963,27
1964,51
1965,25
1966,35
1967,22
1968,26
1969,43
1970,46
1971,26
1972,12
1973,30
1974,34
1975,24
1976,40
1977,21
1978,47
1979,43
1980,49
1981,55
1982,39
1983,0
1984,0
1985,0
1986,0
1987,41
1988,21
1989,38
1990,50
1991,44
1992,27
1993,24
1994,21
1995,26
1996,15
1997,18
1998,45
1999,27
2000,18
2001,29
2002,14
2003,31
2004,23
2005,47
2006,43
2007,10
2008,13
2009,32
2010,46
2011,15
2012,28
2013,33
2014,15
2015,35
2016,41
2017,40
2018,28
2019,31
