year,total
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,1
1966,3
1967,0
1968,1
1969,1
1970,1
1971,1
1972,0
1973,0
1974,1
1975,2
1976,0
1977,0
1978,1
1979,0
1980,2
1981,1
1982,2
1983,1
1984,0
1985,1
1986,1
1987,5
1988,0
1989,3
1990,1
1991,7
1992,4
1993,1
1994,4
1995,3
1996,1
1997,2
1998,5
1999,3
2000,5
2001,6
2002,8
2003,8
2004,6
2005,3
2006,3
2007,6
2008,3
2009,9
2010,6
2011,3
2012,8
2013,1
2014,1
2015,16
2016,7
2017,17
2018,4
2019,12
2020,11
2021,0
