year,total
1950,0
1951,4
1952,5
1953,6
1954,0
1955,8
1956,2
1957,5
1958,6
1959,2
1960,5
1961,6
1962,5
1963,3
1964,8
1965,5
1966,8
1967,10
1968,5
1969,1
1970,0
1971,5
1972,0
1973,1
1974,2
1975,11
1976,4
1977,0
1978,2
1979,3
1980,5
1981,3
1982,5
1983,3
1984,4
1985,9
1986,5
1987,7
1988,3
1989,23
1990,7
1991,20
1992,9
1993,9
1994,24
1995,18
1996,5
1997,0
1998,12
1999,10
2000,4
2001,10
2002,1
2003,10
2004,18
2005,18
2006,20
2007,17
2008,9
2009,14
2010,19
2011,6
2012,19
2013,3
2014,4
2015,29
2016,17
2017,25
2018,7
2019,6
2020,12
2021,13
2022,12
