year,total
1950,4
1951,1
1952,10
1953,0
1954,0
1955,0
1956,2
1957,5
1958,6
1959,4
1960,1
1961,2
1962,5
1963,4
1964,8
1965,5
1966,4
1967,6
1968,4
1969,9
1970,4
1971,3
1972,0
1973,5
1974,2
1975,13
1976,4
1977,0
1978,3
1979,5
1980,7
1981,6
1982,13
1983,15
1984,8
1985,5
1986,5
1987,17
1988,7
1989,6
1990,15
1991,17
1992,12
1993,10
1994,18
1995,9
1996,2
1997,5
1998,9
1999,0
2000,6
2001,9
2002,3
2003,32
2004,8
2005,8
2006,10
2007,2
2008,4
2009,14
2010,11
2011,9
2012,16
2013,8
2014,4
2015,22
2016,4
2017,12
2018,9
2019,18
2020,12
2021,2
