fecha,minima
1973-08-09,20.2
1973-08-15,20
1973-09-13,20.6
1973-09-16,20.8
1974-09-14,20
1975-08-01,21
1975-08-02,22.8
1975-08-05,20
1975-08-06,20.4
1975-08-10,20
1975-08-21,20.4
1976-07-17,20
1976-07-31,20.2
1978-08-16,20
1979-07-12,20
1979-07-31,20.4
1980-08-26,20.4
1981-06-17,20.4
1982-07-02,21.2
1982-07-07,21.2
1982-07-08,20.4
1982-07-12,22.2
1982-07-14,20
1982-07-16,20
1982-07-17,20.8
1982-07-21,20.2
1982-08-16,20.2
1982-08-17,20
1983-07-20,20.6
1983-07-21,20
1983-07-23,20.4
1983-07-24,20
1983-07-25,21.2
1983-07-26,22.4
1983-07-27,21.2
1983-07-28,21
1983-07-29,21
1983-08-01,21
1984-07-11,20.6
1985-07-16,21.4
1985-07-23,20.2
1986-07-31,20.4
1986-08-16,20
1986-08-18,23
1986-08-22,20.4
1987-07-06,20
1987-07-17,20.4
1987-08-05,20.8
1987-08-16,21
1987-08-17,20.4
1987-08-20,20
1987-08-22,20.6
1987-08-23,22.2
1987-09-26,20.8
1988-07-29,20.6
1988-08-28,22.4
1989-07-22,20.4
1989-07-23,20.4
1989-07-24,20
1989-07-30,21.4
1989-08-08,21.2
1989-08-09,20.4
1989-08-12,20
1989-08-14,21.4
1989-08-15,20
1989-08-16,20.4
1990-07-18,20
1990-07-22,20.6
1990-07-28,20
1990-08-13,21.4
1990-08-20,20.6
1991-07-21,20.2
1991-08-22,21.6
1991-08-27,20.2
1991-08-28,20
1991-08-29,21.2
1991-08-31,22.4
1992-07-27,20
1992-07-28,20
1992-08-03,20.4
1992-08-04,20.2
1992-08-05,21
1992-08-19,21.6
1992-08-20,20.4
1992-08-26,20.2
1993-07-05,20
1993-08-05,20
1993-08-06,20
1993-08-07,20
1994-07-05,21.4
1994-07-22,20.2
1994-07-29,20.4
1994-08-07,20
1994-08-08,22.6
1994-08-22,20
1994-08-28,20
1994-08-29,20
1994-08-31,21
1995-07-23,20.6
1995-07-24,20.6
1995-07-25,20.8
1995-07-27,22
1995-07-29,20
1995-07-30,20.4
1996-07-16,20.4
1996-07-25,22
1996-07-26,21
1996-08-07,21.2
1997-07-15,20
1997-08-05,20
1998-07-26,21
1998-09-02,20.4
1998-09-03,20
1999-08-04,21.6
1999-08-05,20.4
1999-08-06,20
1999-08-08,20.2
1999-08-20,20.2
1999-08-25,21
1999-08-26,20.6
2000-08-12,20.2
2000-08-24,20.5
2001-07-05,20.2
2001-07-30,20
2001-08-01,21
2001-08-02,20
2001-08-16,21
2002-07-27,20
2003-06-15,20.6
2003-06-25,20.4
2003-06-26,20.6
2003-07-20,21.5
2003-07-22,22.1
2003-07-23,20.5
2003-07-29,20.6
2003-08-15,20.9
2003-08-16,20.3
2003-08-28,20.5
2004-07-23,21.2
2004-07-24,20.3
2004-08-03,20.6
2004-08-09,20
2004-08-10,20.1
2005-06-27,20.7
2005-06-28,21.1
2005-07-25,21.1
2005-07-28,20.2
2005-07-29,20.6
2005-08-10,20.1
2006-06-30,20
2006-07-12,20.3
2006-07-13,21.4
2006-07-24,21
2006-07-28,20.6
2006-07-31,20.8
2006-08-01,22.6
2008-08-06,20.5
2008-08-12,20
2010-07-08,20.4
2010-07-09,21.1
2010-07-10,20.3
2010-07-13,20.4
2010-07-17,20.1
2010-07-18,20.2
2010-07-21,20.4
2010-07-28,20.4
2010-07-29,20.2
2010-08-22,20.1
2010-08-23,22.3
2010-08-24,20.8
2010-08-27,20.8
2011-08-06,21
2011-08-24,20.9
2011-08-25,20.3
2012-06-28,20.9
2012-08-20,22.1
2012-08-21,20.1
2012-08-23,20.5
2012-08-24,20
2012-08-28,22.3
2012-08-29,20.3
2013-07-28,21.7
2013-08-06,20.2
2013-08-07,20.1
2013-10-03,21
2015-07-04,20.4
2015-07-08,21.2
2015-07-13,20
2015-07-14,20.9
2015-07-18,20.5
2015-07-19,21.5
2015-07-21,23.1
2015-07-22,21.2
2015-07-23,20.3
2015-07-28,20.1
2015-08-06,20.8
2015-08-07,20.6
2016-07-08,20.2
2016-07-21,21
2016-07-31,20
2017-06-16,20.9
2017-06-20,21
2017-06-24,20.2
2017-06-25,20.7
2017-07-18,20.1
2017-07-19,21.1
2017-07-30,20.1
2017-07-31,21.3
2017-08-01,21.9
2017-08-03,21.4
2017-08-04,20.7
2017-08-05,21.9
2017-08-06,21.7
2017-08-07,20.8
2017-08-19,20
2017-08-27,21.1
2017-08-29,20.5
2018-07-30,20.6
2018-07-31,20.4
2018-08-01,21
2018-08-02,21.5
2018-08-03,21.5
2018-08-04,20.9
2018-08-05,22.3
2018-08-06,20
2018-08-07,21
2018-08-08,21.5
2019-06-29,20.6
2019-06-30,21.6
2019-07-01,20.9
2019-07-02,20.2
2019-07-03,20
2019-07-07,21.5
2019-07-21,20.1
2019-07-24,20.8
2019-08-08,20.6
2019-08-09,21.4
2019-08-10,22.9
2019-08-19,21.6
2020-08-09,20.1
2020-08-11,20.9
2020-08-22,20.3
2021-07-06,20.3
2021-08-12,20
2021-08-13,20.1
2021-08-15,20.6
2021-08-16,20.2
2021-09-07,20.2
2021-09-08,20.7
2021-09-09,21.2
2021-09-14,21.9
2021-09-15,20.7
2022-06-17,21.1
2022-06-26,20.4
2022-07-06,21.7
2022-07-16,20.5
2022-07-19,22.4
2022-07-21,20.1
2022-07-23,22.3
2022-07-24,21.5
2022-07-26,20.7
2022-07-27,21
2022-07-29,20.1
2022-07-31,20.1
