year,total
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,2
1961,2
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,1
1969,2
1970,2
1971,3
1972,0
1973,5
1974,0
1975,0
1976,0
1977,2
1978,1
1979,2
1980,0
1981,0
1982,0
1983,1
1984,0
1985,1
1986,1
1987,4
1988,0
1989,2
1990,7
1991,3
1992,7
1993,0
1994,6
1995,2
1996,0
1997,6
1998,1
1999,3
2000,0
2001,5
2002,1
2003,14
2004,3
2005,4
2006,10
2007,0
2008,1
2009,4
2010,4
2011,3
2012,4
2013,6
2014,5
2015,6
2016,1
2017,0
2018,16
2019,9
2020,13
2021,3
