year,total
1950,0
1951,0
1952,0
1953,45
1954,26
1955,26
1956,14
1957,17
1958,40
1959,35
1960,28
1961,35
1962,49
1963,23
1964,35
1965,19
1966,30
1967,31
1968,15
1969,13
1970,31
1971,20
1972,7
1973,15
1974,6
1975,27
1976,17
1977,1
1978,14
1979,19
1980,26
1981,19
1982,13
1983,33
1984,16
1985,39
1986,28
1987,39
1988,42
1989,56
1990,44
1991,44
1992,39
1993,16
1994,56
1995,40
1996,28
1997,30
1998,30
1999,44
2000,22
2001,35
2002,15
2003,57
2004,31
2005,38
2006,33
2007,25
2008,14
2009,12
2010,22
2011,46
2012,55
2013,30
2014,46
2015,54
2016,1
2017,59
2018,62
2019,43
2020,39
2021,0
