year,total
1950,22
1951,9
1952,11
1953,11
1954,9
1955,7
1956,2
1957,14
1958,12
1959,16
1960,10
1961,10
1962,22
1963,7
1964,25
1965,11
1966,11
1967,12
1968,21
1969,27
1970,11
1971,6
1972,7
1973,13
1974,12
1975,10
1976,7
1977,1
1978,16
1979,13
1980,13
1981,16
1982,11
1983,8
1984,5
1985,36
1986,22
1987,31
1988,36
1989,38
1990,38
1991,40
1992,27
1993,30
1994,38
1995,30
1996,22
1997,23
1998,42
1999,30
2000,20
2001,29
2002,23
2003,46
2004,31
2005,41
2006,38
2007,13
2008,25
2009,43
2010,33
2011,28
2012,31
2013,40
2014,29
2015,47
2016,61
2017,56
2018,53
2019,49
2020,43
2021,31
2022,0
