year,total
1950,0
1951,0
1952,6
1953,26
1954,6
1955,17
1956,4
1957,35
1958,9
1959,16
1960,11
1961,26
1962,20
1963,12
1964,34
1965,8
1966,15
1967,12
1968,13
1969,11
1970,12
1971,13
1972,5
1973,14
1974,13
1975,13
1976,22
1977,4
1978,16
1979,30
1980,26
1981,20
1982,24
1983,15
1984,14
1985,24
1986,19
1987,28
1988,22
1989,40
1990,29
1991,34
1992,19
1993,21
1994,13
1995,24
1996,14
1997,12
1998,24
1999,19
2000,16
2001,24
2002,7
2003,31
2004,26
2005,22
2006,22
2007,7
2008,12
2009,17
2010,35
2011,26
2012,13
2013,10
2014,3
2015,13
2016,29
2017,19
2018,12
2019,10
2020,13
2021,10
2022,26
2023,17
