year,total
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,1
1957,3
1958,2
1959,2
1960,2
1961,0
1962,3
1963,2
1964,3
1965,4
1966,2
1967,0
1968,4
1969,6
1970,0
1971,1
1972,0
1973,3
1974,1
1975,1
1976,0
1977,0
1978,0
1979,1
1980,0
1981,4
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,1
1994,0
1995,0
1996,1
1997,0
1998,1
1999,0
2000,1
2001,0
2002,0
2003,5
2004,1
2005,1
2006,2
2007,0
2008,0
2009,0
2010,1
2011,2
2012,2
2013,1
2014,0
2015,2
2016,2
2017,2
2018,0
2019,5
2020,3
2021,2
2022,12
2023,1
