year,total
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,4
1961,10
1962,13
1963,5
1964,13
1965,12
1966,4
1967,10
1968,6
1969,12
1970,10
1971,14
1972,1
1973,15
1974,5
1975,17
1976,13
1977,1
1978,7
1979,17
1980,14
1981,6
1982,22
1983,0
1984,0
1985,2
1986,2
1987,6
1988,1
1989,15
1990,2
1991,4
1992,11
1993,1
1994,14
1995,11
1996,2
1997,6
1998,9
1999,19
2000,8
2001,12
2002,6
2003,33
2004,19
2005,14
2006,23
2007,9
2008,13
2009,35
2010,25
2011,14
2012,26
2013,15
2014,17
2015,31
2016,20
2017,30
2018,21
2019,2
