year,total
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,2
1965,0
1966,2
1967,0
1968,2
1969,1
1970,31
1971,11
1972,1
1973,3
1974,1
1975,1
1976,2
1977,0
1978,0
1979,0
1980,2
1981,1
1982,0
1983,1
1984,0
1985,0
1986,0
1987,3
1988,1
1989,2
1990,4
1991,0
1992,0
1993,1
1994,0
1995,0
1996,0
1997,0
1998,3
1999,1
2000,2
2001,0
2002,0
2003,6
2004,0
2005,2
2006,7
2007,0
2008,0
2009,0
2010,1
2011,1
2012,0
2013,5
2014,0
2015,0
2016,0
2017,1
2018,3
2019,0
2020,1
2021,0
2022,2
2023,0
