year,total
1950,39
1951,7
1952,35
1953,16
1954,3
1955,35
1956,15
1957,14
1958,25
1959,23
1960,24
1961,27
1962,48
1963,7
1964,23
1965,16
1966,12
1967,0
1968,24
1969,25
1970,25
1971,33
1972,7
1973,13
1974,4
1975,21
1976,5
1977,0
1978,2
1979,17
1980,18
1981,11
1982,35
1983,26
1984,5
1985,11
1986,18
1987,22
1988,11
1989,39
1990,53
1991,17
1992,19
1993,29
1994,69
1995,47
1996,38
1997,49
1998,61
1999,64
2000,25
2001,29
2002,13
2003,80
2004,73
2005,64
2006,80
2007,60
2008,64
2009,75
2010,69
2011,69
2012,76
2013,63
2014,73
2015,72
2016,74
2017,75
2018,94
2019,80
2020,72
2021,89
2022,104
2023,86
2024,82
