year,total
1950,4
1951,0
1952,4
1953,0
1954,6
1955,0
1956,7
1957,19
1958,27
1959,30
1960,10
1961,2
1962,12
1963,0
1964,3
1965,10
1966,9
1967,11
1968,7
1969,9
1970,3
1971,1
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,1
1980,9
1981,11
1982,18
1983,6
1984,5
1985,18
1986,10
1987,12
1988,17
1989,24
1990,18
1991,27
1992,14
1993,16
1994,28
1995,31
1996,18
1997,14
1998,32
1999,32
2000,23
2001,33
2002,29
2003,39
2004,31
2005,34
2006,41
2007,16
2008,24
2009,44
2010,47
2011,33
2012,25
2013,22
2014,25
2015,50
2016,45
2017,50
2018,30
2019,42
2020,37
2021,3
