year,temp
1960,11.8
1961,13.4
1962,9.6
1963,9.3
1964,10.9
1965,9.4
1966,12.4
1967,11.3
1968,11
1969,9.6
1970,11.1
1971,10.8
1972,10.6
1973,8.9
1974,9.7
1975,11.6
1976,11.3
1977,11.7
1978,11.9
1979,11.2
1980,11.5
1981,9.6
1986,10
1987,10.8
1988,10.5
1989,11.8
1990,13
1991,8.9
1992,10
1993,10.6
1994,10.3
1995,12.3
1996,9.9
1997,13.4
1998,13.3
1999,9.4
2000,12.7
2001,11.7
2002,11.5
2003,9.9
2004,11.7
2005,8.3
2006,10.1
2007,12.8
2008,13.6
2009,11.2
2010,11.3
2011,10.9
2012,8.1
2013,9.9
2014,10.7
2015,10
2016,11.5
2017,12.4
2018,9.5
