year,temp
1950,6.9
1951,5.2
1952,4.8
1953,4.5
1955,6.8
1956,0.7
1957,8.4
1958,8.6
1959,5.5
1960,8
1961,9.3
1962,5.8
1963,4.9
1964,7.2
1965,3
1966,9.4
1967,6.3
1968,6.4
1969,4.5
1970,5.8
1971,5.7
1972,6.1
1973,4.2
1974,5.1
1975,6.4
1976,6.3
1977,7.8
1978,7.2
1979,7
1980,6.8
1981,4.9
1982,7
1983,3.3
1984,5
1985,8.6
1986,5.5
1987,6.3
1988,5.9
1989,7.2
1990,10.1
1991,5.2
1992,6.1
1993,5.5
1994,6.9
1995,8.4
1996,4.9
1997,9.2
1998,8.7
1999,5.7
2000,9.4
2001,7.4
2002,8.2
2003,5.4
2004,7.3
2005,4.1
2006,6
2007,9.2
2008,8.3
2009,6.9
2010,6.8
2011,7.3
2012,3.6
2013,5.9
2014,7.6
2015,5.8
2016,8.1
2017,8.9
2018,5.1
