year,temp
1969,11.7
1970,12.5
1971,12.6
1972,13.5
1973,12.2
1974,12.4
1975,13.2
1976,13.1
1977,13.2
1978,14
1979,13.5
1980,13.1
1981,12.2
1982,13.4
1983,11.2
1984,12.4
1985,14.5
1986,13.3
1987,13.3
1988,13.2
1989,13.7
1990,13.9
1991,12.4
1992,12.7
1993,12.9
1994,13.3
1995,14.3
1996,13.4
1997,14.5
1998,14.2
1999,12.3
2000,14.7
2001,14.1
2002,13.7
2003,12.6
2004,13.8
2005,11.3
2006,12.5
2007,14.9
2008,14.6
2009,12.4
2010,13.3
2011,12.9
2012,10.8
2013,12.5
2014,13.8
2015,13.5
2016,14.1
2017,15.2
2018,12.4
