year,temp
1951,16
1952,16.2
1953,16.4
1954,15.7
1955,18
1956,17
1957,17
1958,17.7
1959,16.6
1960,17.8
1961,18.4
1962,17.4
1963,17.7
1964,17.3
1965,16.3
1966,18.3
1967,17.9
1968,17
1969,18.6
1970,17.7
1971,17
1972,16.6
1973,16.9
1974,17.6
1975,17.2
1976,17.4
1977,17.6
1978,18.4
1979,18.5
1980,17.6
1981,16.7
1982,17.8
1983,17.6
1984,17.5
1985,18
1986,17.2
1987,18.4
1988,17.5
1989,17.8
1990,19.5
1991,17.2
1992,18
1993,17.5
1994,17.2
1995,18.6
1996,18.3
1997,20.2
1998,21.1
1999,18.4
2000,18.8
2001,19
2002,19
2003,17.6
2004,18.6
2005,16.3
2006,17.1
2007,18
2008,18.5
2009,16.9
2010,20.3
2011,18.3
2012,17
2013,18.5
2014,18
2015,17.7
2016,18.9
2017,18.6
2018,16.8
