year,temp
1960,7.9
1961,10.2
1962,6.8
1963,4.4
1964,7.3
1965,4.6
1966,10.1
1967,7.1
1968,8.3
1969,5.9
1970,8.1
1971,7.9
1972,8
1973,6.9
1974,7.6
1975,8.8
1976,8.5
1977,9.3
1978,9.5
1979,8.4
1980,9.5
1981,5.9
1982,8.1
1985,8.8
1986,6.3
1987,7.1
1988,7.1
1989,7.4
1990,11.5
1991,6.8
1992,5.6
1993,6.6
1994,8.7
1995,9.2
1996,7.1
1997,9.1
1998,8.4
1999,7.8
2000,10.2
2001,7.6
2002,9.2
2003,6.8
2004,5.7
2005,5.5
2006,5.8
2007,9.3
2008,9.7
2009,8.2
2010,7
2011,8.5
2012,4.9
2013,7.3
2014,8.2
2015,6.7
2016,9.1
2017,9.2
2018,5.9
