year,temp
1950,11.6
1951,8.8
1952,9.8
1953,9
1954,8.8
1955,9.6
1956,5.8
1957,11.7
1958,11.6
1959,9.6
1960,10.5
1961,12.5
1962,9.4
1963,8.6
1964,10.6
1965,8.9
1966,12.5
1967,10.2
1968,10.4
1969,8.4
1970,9.9
1971,10.1
1972,9.5
1973,9.5
1974,10
1975,11.1
1976,10.7
1977,11.6
1978,11.1
1979,11
1980,11.3
1981,9.3
1982,11.7
1983,9.3
1984,9.5
1985,11.9
1986,9.9
1987,10.4
1988,11.1
1989,11.4
1990,13.5
1991,9.6
1992,10.7
1993,10.9
1994,10.6
1995,11.7
1996,10
1997,12.8
1998,13.1
1999,10.5
2000,12.2
2001,11.6
2002,12.2
2003,10.7
2004,11.1
2005,9
2006,9.5
2007,12.4
2008,14.1
2009,10.7
2010,10.2
2011,11.6
2012,9.5
2013,10.8
2014,10.9
2015,10
2016,11
2017,11.8
2018,9.4
