year,temp
1950,11.3
1951,8.5
1952,8.3
1953,6
1954,6.9
1955,9.4
1956,2.1
1957,12.1
1958,11.8
1959,9
1960,10.9
1961,12.7
1962,7.9
1963,6.8
1964,9.8
1965,6.3
1966,12.9
1967,10.2
1968,9.8
1969,7.1
1970,8.7
1971,8
1972,9.5
1973,7.5
1974,9.2
1975,10.5
1976,10.2
1977,12.1
1978,11.4
1979,9.7
1980,11.2
1981,7.8
1982,10.6
1983,7.9
1984,7.7
1985,11.7
1986,9.2
1987,9.3
1988,9.8
1989,10.2
1990,13.3
1991,8.1
1992,9.1
1993,8.1
1994,10.3
1995,11.2
1996,7.8
1997,12.1
1998,11.8
1999,8.1
2000,10.9
2001,9.6
2002,11.1
2003,9.2
2004,9
2005,6.5
2006,7.5
2007,12.5
2008,12.8
2009,8.9
2010,9.6
2011,10.9
2012,6.6
2013,7.8
2014,10.7
2015,7.3
2016,9.8
2017,11.3
2018,6.7
