year,temp
1950,10.7
1951,7.7
1952,6.4
1953,5.4
1954,5.5
1955,7.8
1956,0.4
1957,11.7
1958,11
1959,8.5
1960,9.7
1961,12.3
1962,6.8
1963,5.5
1964,8.8
1965,5
1966,12.2
1967,9.1
1968,9
1969,6.2
1970,7.7
1971,7.5
1972,8.6
1973,6.5
1974,7.8
1975,9.8
1976,8.9
1977,11
1978,9.5
1979,8.5
1980,9.9
1981,6.8
1982,9.4
1983,6.8
1984,6.2
1985,10.7
1986,6.9
1987,7.6
1988,8.4
1989,9.8
1990,13.1
1991,7.4
1992,8.6
1993,8
1994,9.5
1995,10.4
1996,6.6
1997,12
1998,11.1
1999,6.9
2000,10.2
2001,8.8
2002,10.2
2003,7.5
2004,8.1
2005,5.4
2006,6.5
2007,11.2
2008,11.8
2009,7.6
2010,7.7
2011,10
2012,4.5
2013,6.8
2014,9.6
2015,6.5
2016,9
2017,10.7
2018,5.8
