year,temp
1955,9.3
1956,4
1957,11.8
1958,10.6
1959,8.5
1960,12
1961,12.3
1962,8.1
1963,7.4
1964,9.9
1965,7
1966,13.1
1967,10
1968,10.4
1969,8.4
1970,10.1
1971,9
1972,9.3
1973,7.8
1974,9.9
1975,11.3
1978,11
1979,10.1
1980,10.9
1981,8.2
1982,10.7
1983,8
1984,8
1985,11.8
1986,8.5
1987,9.3
1988,10.1
1989,9.7
1990,14
1991,7.9
1992,8.9
1993,8.7
1994,10.6
1995,11.4
1996,8.6
1997,11.3
1998,11
1999,9
2000,11
2001,10.1
2002,11.8
2003,9.5
2004,8.7
2005,7.3
2006,7.6
2007,12.1
2008,11.7
2009,8.4
2010,9.4
2011,10.5
2012,7.2
2013,9.2
2014,11.4
2015,8.6
2016,10.8
2017,11.4
2018,8
