year,temp
1952,7.7
1953,7
1954,6
1955,8.2
1956,3.4
1957,10.6
1958,9.6
1959,6.6
1960,9
1961,10.9
1962,7.7
1963,6.9
1964,7.7
1965,5.9
1966,10.6
1967,7.9
1973,7.9
1974,8
1975,9.6
1976,9.2
1977,10
1978,9.6
1979,10.3
1980,9.9
1981,6.5
1982,11.4
1983,7.6
1984,7.5
1985,9.8
1986,8.3
1987,8.6
1988,9.1
1989,9.3
1990,12.3
1991,7.4
1992,8.4
1993,8.3
1994,8.1
1995,10.2
1996,8.2
1997,11.3
1998,11.2
1999,8.2
2000,11.1
2001,10.1
2002,10.5
2003,8.6
2004,9.2
2005,6.9
2006,7.6
2007,10.4
2008,11.6
2009,9.3
2010,8.8
2011,9.5
2012,7.7
2013,8.8
2014,9.5
2015,8.1
2016,9.6
2017,11
2018,7.7
