year,temp
1950,7.6
1951,4.6
1952,6.1
1953,5.1
1954,4.5
1955,6.4
1956,0
1957,8.4
1958,7.6
1959,7.1
1960,6.6
1961,9.5
1962,5.7
1963,2.8
1964,6.5
1965,4
1966,8.9
1967,6.1
1968,7
1969,4
1970,6.4
1971,7.3
1972,6.1
1973,5.9
1974,5.9
1975,7.4
1976,7.1
1977,8
1978,7.6
1979,6.6
1980,8.5
1981,5.4
1982,7.4
1983,5
1984,5.6
1985,8.2
1986,5.3
1987,6.5
1988,6
1989,7.8
1990,11
1991,5.8
1992,6.3
1993,5.9
1994,7.9
1995,8.8
1996,5.6
1997,9.6
1998,8.1
1999,6.9
2001,7
2002,8.6
2003,5.3
2004,5.1
2005,4.4
2006,5.7
2007,8.5
2008,9.3
2009,7
2010,5.6
2011,8.6
2012,5.5
2013,6.3
2014,7.3
2015,6.3
2016,8.2
2017,8.3
2018,5
