year,temp
1950,8.3
1951,5.7
1952,7.1
1953,6.3
1954,5.8
1955,6.8
1956,2.8
1957,8.9
1958,8.8
1959,8
1960,7.4
1961,10
1962,6.7
1963,5.8
1964,8.3
1965,6.6
1966,9.4
1967,7.8
1968,7.7
1969,5.8
1970,6.7
1971,8.1
1972,6.5
1973,6.8
1974,6.7
1975,8.4
1976,8.2
1977,8.6
1978,8.2
1979,8
1980,8.6
1981,7.3
1982,8.5
1983,6.5
1984,6.8
1985,9.6
1986,6.5
1987,7.8
1988,8.6
1989,8.7
1990,10.4
1991,6.3
1992,8.3
1993,8.8
1994,7.5
1995,9.1
1996,7.1
1997,10
1998,10.9
1999,7.8
2000,10.1
2001,9.2
2002,9.2
2003,7.9
2004,8.7
2005,6
2006,6.9
2007,8.6
2008,11.6
2009,8
2010,6.3
2011,8.2
2012,7.4
2013,7.6
2014,7.8
2015,7.2
2016,8.3
2017,9.5
2018,6.4
