year,temp
1950,8.7
1951,7.1
1952,6.6
1953,6.3
1954,6.3
1955,7.5
1956,2.5
1957,8.8
1958,9.4
1959,7.1
1960,8.2
1961,10.4
1962,7.7
1963,6
1964,8.5
1965,5.3
1966,9.7
1967,7.6
1968,8.2
1969,5.6
1970,7.6
1971,8
1972,8
1973,7
1974,7.3
1975,8.6
1976,8.6
1977,9.4
1978,9.3
1979,8.7
1980,8.5
1981,7.1
1982,8.5
1983,6.1
1984,6.5
1985,10
1986,7.3
1987,7.9
1988,7.9
1989,8.5
1990,11
1991,6.6
1992,7.4
1993,7.5
1994,7.9
1995,10
1996,7.1
1997,10.7
1998,10.1
1999,7.9
2000,10.5
2001,8.9
2002,9.2
2003,7.2
2004,8.1
2005,5.5
2006,7.1
2007,10.2
2008,9.9
2009,8.5
2010,7.6
2011,9.1
2012,6
2013,7.3
2014,8.5
2015,7.4
2016,9.2
2017,9.9
2018,6.7
