year,temp
1950,13.8
1951,12.6
1952,12.5
1953,11.8
1954,10.9
1955,13.6
1956,8.9
1957,13.7
1958,14.4
1959,11.9
1960,13.2
1961,13.8
1964,13.1
1966,14.6
1967,12.5
1968,12.3
1969,11.7
1970,13.4
1971,12.6
1972,12.1
1973,11.8
1974,11.9
1975,12.7
1976,12.8
1977,14.1
1978,13.4
1979,13.2
1980,13.2
1981,11.6
1982,13.2
1983,10.9
1984,11.9
1985,13.9
1986,13
1987,12.4
1988,12.4
1989,12.6
1990,14.8
1991,11.2
1992,11.8
1993,11.9
1994,12.5
1995,15.2
1996,11.9
1997,14.5
1998,13.2
1999,12.7
2000,14.3
2001,13.4
2002,14.1
2003,12.6
2004,13.3
2005,10.9
2006,12.2
2007,14.7
2008,14.7
2009,12.6
2010,13.6
2011,13.2
2012,11.1
2013,12.7
2014,14
2015,12.6
2016,14.6
2017,14.4
2018,12.4
