year,temp
1955,10
1956,5.5
1957,10.7
1958,11.6
1959,9.2
1960,11.2
1961,11.3
1962,9.3
1963,8.9
1964,10.5
1965,7.5
1966,11.3
1967,9.6
1968,10.5
1969,8.8
1970,9.7
1971,10
1972,10.3
1973,8.6
1974,9.4
1975,10.7
1976,10.7
1977,11.4
1978,10.9
1979,10.9
1980,9.8
1981,9
1982,10.6
1983,8.4
1984,8.8
1985,12.5
1986,10
1987,10.3
1988,10
1989,10.7
1990,12.2
1991,8.7
1992,9
1993,9.7
1994,9.2
1995,11.6
1996,9
1997,12.3
1998,12.6
1999,9.3
2000,11.8
2001,11.4
2002,10.9
2003,9.8
2004,10.6
2005,7.4
2006,9.1
2007,11.9
2008,12.1
2009,10.5
2010,9.8
2011,10.3
2012,7.1
2013,9.5
2014,11.1
2015,10
2016,11.3
2017,11.9
2018,9.6
