year,temp
1950,4.9
1951,1.4
1952,3.1
1953,2.5
1954,2.1
1955,3
1956,.5
1957,5
1958,5.4
1959,4
1960,3.4
1961,7.4
1962,3.7
1963,0.3
1964,4.8
1965,1.4
1966,5.9
1967,3.9
1968,3.7
1969,1.8
1970,3.2
1971,5
1972,3
1973,2.8
1974,2.7
1975,4.8
1976,4.5
1977,5.1
1978,4.5
1979,4.1
1980,5.6
1981,2.8
1982,4.4
1983,2.8
1984,3.6
1985,5.7
1986,1.6
1987,3.6
1988,3.6
1989,4.6
1990,7.6
1991,2.4
1992,3.9
1993,3.2
1994,4.3
1995,5.9
1996,3
1997,7
1998,7
1999,4.2
2000,7.4
2001,5.1
2002,5.5
2003,2.9
2004,4.1
2005,0.7
2006,3.1
2007,5.9
2008,5.8
2009,4.3
2010,2.7
2011,5.5
2012,1.7
2013,2.9
2014,3.5
2015,2.2
2016,4.4
2017,5.7
2018,2.7
