year,temp
1954,3.4
1955,6
1956,-1.7
1957,8.7
1958,7.3
1959,6.6
1960,6.6
1961,9.5
1962,5.4
1963,2.7
1964,6.4
1965,3
1966,9.1
1967,5.9
1968,6.6
1970,5.7
1971,6.5
1972,6.5
1973,4.9
1974,5.7
1975,8.2
1976,7.4
1977,8.4
1978,7.8
1979,6.6
1980,8.3
1981,5.1
1982,7
1983,4
1984,5
1985,8.8
1986,5.1
1987,6.2
1988,6.1
1989,7.6
1990,10.6
1991,5.4
1992,6.4
1993,5.4
1994,7.4
1995,7.9
1996,4.1
1997,8.7
1998,7.6
1999,5
2000,8.6
2001,7
2002,7.9
2003,4.9
2004,5.4
2005,3.4
2006,5.7
2007,8.5
2008,8.8
2009,6.3
2010,5.1
2011,7.8
2012,3.8
2013,5.2
2014,6.7
2015,4.7
2016,7.5
2017,9.1
2018,4.8
