year,temp
1950,10.1
1951,9.4
1952,8.4
1953,8
1954,8.1
1955,10.1
1956,4.5
1957,11.5
1958,9.9
1959,10.5
1960,10.6
1961,11.4
1962,9.5
1963,7.4
1964,9.7
1965,6.9
1966,12.2
1967,10.4
1968,10.2
1969,8.3
1970,9.6
1971,9.7
1972,10.2
1973,8.2
1974,9.7
1975,10.3
1976,9.7
1977,11.1
1978,10.3
1979,10.4
1980,10.8
1981,8.2
1982,10
1983,7.6
1984,8.6
1985,10.6
1986,8.2
1987,9.1
1988,9.5
1989,10.3
1990,13.1
1991,9.4
1992,8.5
1993,8.4
1994,10.3
1995,12
1996,9.6
1997,11.7
1998,11.1
1999,9.9
2000,11.8
2001,9.7
2002,9.8
2003,9.1
2004,10.2
2005,8.7
2006,9.1
2007,12.2
2008,10.9
2009,9.5
2010,8.7
2011,10.1
2012,7.1
2013,9.7
2014,11.3
2015,9.6
2016,11.9
2017,12.5
2018,8.5
