year,temp
1950,13.9
1951,12.4
1952,11.7
1953,10.9
1954,10.3
1955,13
1956,7.4
1957,13.3
1958,14.2
1959,12
1960,13.9
1961,14.9
1962,12.9
1963,11.5
1964,13.4
1965,11.7
1966,14.2
1967,13.4
1968,13.1
1969,11.9
1970,13.1
1971,13.4
1972,12.4
1973,12.3
1974,12.6
1975,13.8
1976,13.9
1977,13.3
1978,13.7
1979,13.2
1980,13.5
1981,12.2
1982,13.5
1983,11.2
1984,12.1
1985,13.9
1986,11.3
1987,11.9
1988,11.9
1989,12.4
1990,13.9
1991,10.4
1992,11.6
1993,12.2
1994,11.3
1995,13.5
1996,10.9
1997,14.8
1998,14
1999,10.9
2000,14.2
2001,13
2002,13.2
2003,11.7
2004,12.7
2005,9.4
2006,10.9
2007,13.4
2008,14.2
2009,11.8
2010,12.7
2011,12.5
2012,9.4
2013,10.9
2014,12.2
2015,11.7
2016,12.8
2017,13.2
2018,11
