year,temp
1954,8
1955,11
1956,5
1957,10.4
1958,10.8
1959,9.7
1960,10
1961,11.3
1962,9.4
1963,9
1964,10.8
1973,8
1974,9.5
1975,9.5
1976,8.9
1977,10.1
1978,10.4
1979,10.6
1980,10
1981,7.4
1982,10.1
1983,8
1984,9
1985,10.6
1986,8.7
1987,9.2
1988,9.1
1989,10.7
1990,12.9
1991,8.8
1992,8.8
1993,9.2
1994,9.4
1995,11.5
1996,9.2
1997,10.8
1998,11.4
1999,8.4
2000,10.4
2001,9.6
2002,10.8
2003,9.4
2004,9.8
2005,7.6
2006,9
2007,12
2008,10.4
2009,9.7
2010,10.6
2011,10.5
2012,7
2013,9.1
2014,11
2015,9.1
2016,11.6
2017,12.3
2018,8.4
