year,temp
1953,7.8
1954,8.2
1955,10.4
1957,11.6
1958,10.4
1959,10.1
1960,10.4
1961,12.2
1962,9.8
1963,7.6
1964,10.4
1965,7.3
1966,12.5
1967,10.5
1968,9.8
1969,8.5
1970,10.7
1971,9.7
1972,9.9
1973,9.1
1974,9.7
1975,10.1
1976,10.1
1977,11.7
1978,11.2
1979,10.8
1980,10.8
1981,8.1
1982,10.5
1983,7.4
1984,9
1985,10.8
1986,8
1987,9
1988,9.9
1989,10.8
1990,13
1991,8.7
1992,8.8
1993,9
1994,10.7
1995,12
1996,9.2
1997,11.5
1998,10.9
1999,9.9
2000,12
2001,10.3
2002,11.4
2003,8.9
2004,8.9
2005,7.4
2006,8.1
2007,11.7
2008,9.8
2009,8.6
2010,7.4
2011,10.5
2012,7.2
2013,9.4
2014,10.1
2015,8.7
2016,12.2
2017,11.7
2018,8.1
