year,temp
1950,9.6
1951,7.3
1952,8.9
1953,8.6
1954,7.8
1955,8.8
1956,4.6
1957,9.9
1958,11.1
1959,9.1
1960,9.6
1961,12.5
1962,9.6
1963,6.7
1964,10
1965,7.3
1966,9.8
1967,8.6
1968,8.8
1969,7.3
1970,9.3
1971,10.3
1972,8.1
1973,8.5
1974,8.9
1975,10
1976,9.7
1977,9.5
1978,10
1979,9.5
1980,10.3
1981,9.4
1982,9.9
1983,7.2
1984,7.6
1985,10.9
1986,8.6
1987,9.1
1988,8.8
1989,10
1990,11.7
1991,7.7
1992,8.7
1993,8.8
1994,8.8
1995,10.5
1996,7.9
1997,11.4
1998,11.3
1999,8.6
2000,11.6
2001,10.1
2002,10.3
2003,8.5
2004,9.4
2005,6.8
2006,8.1
2007,10.7
2008,10.8
2009,9.5
2010,8.3
2011,9.8
2012,7.1
2013,8.2
2014,9.2
2015,8.2
2016,9.3
2017,10.6
2018,8.2
