year,temp
1950,8
1951,5.9
1952,6.5
1953,6.2
1954,6.3
1955,7.5
1956,2.8
1957,9.1
1958,9.9
1959,7
1960,8.4
1961,9.8
1962,7.6
1963,5.9
1964,7.5
1965,4.4
1966,8.6
1967,6.9
1968,6.7
1969,4.3
1970,6.5
1971,6.2
1972,6.1
1973,5.7
1974,6.1
1975,7.3
1976,7.1
1977,8.4
1978,7.7
1979,7.6
1980,8.1
1981,6.8
1982,8.1
1983,5.4
1984,6.1
1985,9.5
1986,6.8
1987,7.4
1988,7.2
1989,8
1990,10.9
1991,7
1992,7.1
1993,7.1
1994,8.2
1995,9.2
1996,6.8
1997,10.2
1998,10.1
1999,7.3
2000,10.5
2001,8.7
2002,9.2
2003,7
2004,8.5
2005,5.3
2006,7.2
2007,10
2008,9.6
2009,8.3
2010,7.7
2011,8.7
2012,5.4
2013,7
2014,8.3
2015,7.1
2016,8.6
2017,9.6
2018,6.6
