year,temp
1950,11.4
1951,10.8
1952,12
1953,10.7
1954,10.2
1955,12.8
1956,12
1957,12.6
1958,12.9
1959,11
1960,14
1961,13.7
1962,12.3
1963,12.2
1964,13.4
1965,12.6
1966,14.9
1967,12.9
1968,12.1
1969,14.1
1970,12.9
1971,11.9
1972,11.2
1973,11.6
1974,11.8
1975,12.4
1976,12.2
1977,13.2
1978,14.4
1979,14.7
1980,14
1981,11.6
1982,13.2
1983,13.4
1984,13.1
1985,13.2
1986,11.9
1987,14.1
1988,12.7
1989,12.5
1990,15.5
1991,12.1
1992,13.4
1993,12.7
1994,13.5
1995,14.6
1996,12.8
1997,15.8
1998,16.6
1999,12.4
2000,14.2
2001,13.8
2002,14.9
2003,12.7
2004,15
2005,11.4
2006,12.5
2007,12
2008,12.2
2009,12
2010,15.3
2011,13
2012,11.7
2013,13.7
2014,12.4
2015,11.8
2016,13.4
2017,13.1
2018,12
