year,temp
1964,11.1
1965,9.5
1966,12.9
1967,11.6
1968,11.3
1969,9.5
1970,9.7
1971,12.3
1972,9.9
1973,10.2
1974,10.7
1975,11.8
1976,10.5
1977,11.4
1978,11
1979,10.7
1980,10.8
1981,9.2
1982,10.7
1983,9.1
1984,9.3
1985,12
1986,8.8
1987,10
1988,10.3
1989,11.4
1990,12.4
1991,8.6
1992,10.8
1993,11.1
1994,9.2
1995,10.7
1996,8.4
1997,11.7
1998,12.6
1999,9.6
2000,11.5
2001,10.9
2002,11.1
2003,9.7
2004,10.3
2005,8
2006,8.5
2007,10.7
2008,13.3
2009,10.2
2010,9.2
2011,10.1
2012,8.9
2013,9
2014,9.5
2015,8.6
2016,9.7
2017,11.2
2018,8.6
