year,temp
1950,6.4
1951,4.4
1952,4.5
1953,3
1954,3.7
1955,5.6
1956,-0.2
1957,7.2
1958,6.9
1959,4.6
1960,6.3
1961,8.3
1962,4.4
1963,3
1964,5.7
1965,2.8
1966,7.8
1967,5.4
1968,5.5
1969,3.2
1970,5.1
1971,4.7
1972,5.1
1973,4.1
1974,4.5
1975,5.9
1976,5.3
1977,6.8
1978,6
1979,5.9
1980,6.3
1981,3.8
1982,6
1983,3.6
1984,3.6
1985,7.3
1986,4.8
1987,5.7
1988,5.4
1989,6.2
1990,8.9
1991,4.2
1992,4.9
1993,4.3
1994,5.4
1995,7.3
1996,4.4
1997,7.9
1998,7.8
1999,3.9
2000,7.5
2001,5.7
2002,6.4
2003,4.4
2004,5.5
2005,1.8
2006,3.7
2007,7.2
2008,7.8
2009,5.2
2010,4.6
2011,5.8
2012,2.6
2013,4.9
2014,5.3
2015,4.1
2016,5.9
2017,7.2
2018,3.3
