year,temp
1956,11.3
1957,12.5
1958,12.8
1959,13
1960,12.9
1961,13.7
1962,12.6
1963,12.1
1964,12.5
1965,12.4
1966,12.6
1967,12.1
1968,12.6
1969,11.8
1970,12.3
1971,11.6
1972,11.5
1973,11.9
1974,11.9
1975,12.1
1976,12.1
1977,12.2
1978,12.2
1979,12.4
1980,12
1981,12.8
1982,13.1
1983,12.5
1984,12.1
1985,12.9
1986,12.7
1987,13.4
1988,12.5
1989,13.9
1990,13.8
1991,13.2
1992,13
1993,12.2
1994,13.4
1995,14.3
1996,13.3
1997,14
1998,13.3
1999,12.9
2000,13
2001,13
2002,13.4
2003,13.7
2004,13
2005,12.9
2006,13.7
2007,12.5
2008,12.7
2009,13.9
2010,13
2011,14
2012,13.1
2013,12.9
2014,14.1
2015,13.8
2016,13.8
2017,14.7
2018,
