year,temp
1950,13.8
1951,12.8
1952,13.5
1953,
1954,
1955,
1956,
1957,13
1958,14
1959,
1960,
1961,14.4
1962,13.7
1963,13.4
1964,14.1
1965,13.7
1966,13.7
1967,13.4
1968,13.6
1969,12.5
1970,13.2
1971,12
1972,12.3
1973,12.8
1974,12.6
1975,12.8
1976,12.6
1977,13.4
1978,13.2
1979,13.5
1980,13.2
1981,13.8
1982,13.8
1983,14.1
1984,12.9
1985,14.1
1986,13.7
1987,14.4
1988,14
1989,14.6
1990,14.4
1991,13.6
1992,13.5
1993,13
1994,14.6
1995,14.8
1996,13.7
1997,14.8
1998,14.4
1999,14.4
2000,14.6
2001,15.1
2002,14.7
2003,14.8
2004,14.4
2005,14.3
2006,15.1
2007,14.3
2008,14.4
2009,15.2
2010,14.2
2011,15.3
2012,14.8
2013,14.2
2014,15.6
2015,15.5
2016,15.3
2017,15.5
2018,
