year,temp
1967,17
1968,17.5
1969,17
1970,17.4
1971,17.2
1972,16.6
1973,16.9
1974,17.2
1975,17.1
1976,17
1977,17.6
1978,17.7
1979,17.6
1980,17.5
1981,18
1982,18.4
1983,18.6
1984,17.8
1985,18.3
1986,18.3
1987,18.5
1988,18.8
1989,18.8
1990,18.5
1991,17.8
1992,17.7
1993,17.7
1994,18.7
1995,18.7
1996,18
1997,18.8
1998,18.6
1999,18.6
2000,18.4
2001,18.9
2002,
2003,18.6
2004,17.8
2005,
2006,18.1
2007,17.5
2008,17.3
2009,17.5
2010,17.7
2011,18.6
2012,18.3
2013,18.5
2014,19.4
2015,19.3
2016,19.5
2017,19.4
2018,
